"species","closed_canopy","open_canopy","main_habitat","cutoff_40","cutoff_60","area_open","area_closed"
"Eucalyptus morrisii R.T.Baker",0.11,0.89,"open","open","open",1,0
"Eucalyptus corticosa L.A.S.Johnson",1,0,"closed","closed","closed",0,1
"Eucalyptus acaciiformis H.Deane & Maiden",1,0,"closed","closed","closed",0,1
"Eucalyptus rummeryi Maiden",1,0,"closed","closed","closed",0,1
"Eucalyptus placita L.A.S.Johnson & K.D.Hill",1,0,"closed","closed","closed",0,1
"Eucalyptus ancophila L.A.S.Johnson & K.D.Hill",1,0,"closed","closed","closed",0,1
"Eucalyptus langleyi L.A.S.Johnson & Blaxell",1,0,"closed","closed","closed",0,1
"Eucalyptus malacoxylon Blakely",1,0,"closed","closed","closed",0,1
"Eucalyptus nandewarica L.A.S.Johnson & K.D.Hill",0.45,0.55,"open","open","closed",1,1
"Eucalyptus panda S.T.Blake",0.02,0.98,"open","open","open",1,0
"Eucalyptus camphora R.T.Baker",0.93,0.07,"closed","closed","closed",0,1
"Eucalyptus moorei Maiden & Cambage",0.98,0.02,"closed","closed","closed",0,1
"Eucalyptus perriniana F.Muell. ex Rodway",0.6,0.4,"closed","closed","closed",1,1
"Corymbia ficifolia (F.Muell.) K.D.Hill & L.A.S.Johnson",0.46,0.54,"open","open","closed",1,1
"Eucalyptus conspicua L.A.S.Johnson & K.D.Hill",1,0,"closed","closed","closed",0,1
"Corymbia calophylla (Lindl.) K.D.Hill & L.A.S.Johnson",0.24,0.76,"open","open","open",1,0
"Eucalyptus crenulata Blakely & Beuzev.",0.97,0.03,"closed","closed","closed",0,1
"Eucalyptus baeuerlenii F.Muell.",1,0,"closed","closed","closed",0,1
"Eucalyptus stenostoma L.A.S.Johnson & Blaxell",0.96,0.04,"closed","closed","closed",0,1
"Eucalyptus vicina L.A.S.Johnson & K.D.Hill",0.32,0.68,"open","open","open",1,1
"Eucalyptus badjensis Beuzev. & Welch",0.93,0.07,"closed","closed","closed",0,1
"Eucalyptus wilcoxii Boland & Kleinig",1,0,"closed","closed","closed",0,1
"Eucalyptus glaucescens Maiden & Blakely",0.65,0.35,"closed","closed","closed",1,1
"Eucalyptus porosa Miq.",0.03,0.97,"open","open","open",1,0
"Eucalyptus bensonii L.A.S.Johnson & K.D.Hill",1,0,"closed","closed","closed",0,1
"Eucalyptus behriana F.Muell.",0.37,0.63,"open","open","open",1,1
"Eucalyptus ophitica L.A.S.Johnson & K.D.Hill",1,0,"closed","closed","closed",0,1
"Eucalyptus apothalassica L.A.S.Johnson & K.D.Hill",0.34,0.66,"open","open","open",1,1
"Eucalyptus recurva Crisp",1,0,"closed","closed","closed",0,1
"Eucalyptus approximans Maiden",0.96,0.04,"closed","closed","closed",0,1
"Eucalyptus kybeanensis Maiden & Cambage",0.62,0.38,"closed","closed","closed",1,1
"Eucalyptus strzeleckii Rule",1,0,"closed","closed","closed",0,1
"Eucalyptus torquata Luehm.",0.13,0.87,"open","open","open",1,0
"Eucalyptus urna D.Nicolle",0.01,0.99,"open","open","open",1,0
"Eucalyptus rudderi Maiden",1,0,"closed","closed","closed",0,1
"Eucalyptus major (Maiden) Blakely",0.78,0.22,"closed","closed","closed",0,1
"Eucalyptus longirostrata (Blakely) L.A.S.Johnson & K.D.Hill",0.45,0.55,"open","open","closed",1,1
"Eucalyptus gomphocephala A.Cunn. ex DC.",0.22,0.78,"open","open","open",1,0
"Eucalyptus imlayensis Crisp & Brooker",1,0,"closed","closed","closed",0,1
"Eucalyptus cyanophylla Brooker",0.11,0.89,"open","open","open",1,0
"Eucalyptus willisii Ladiges, Humphries & Brooker",0.86,0.14,"closed","closed","closed",0,1
"Eucalyptus olsenii L.A.S.Johnson & Blaxell",0.93,0.07,"closed","closed","closed",0,1
"Corymbia bella K.D.Hill & L.A.S.Johnson",0.01,0.99,"open","open","open",1,0
"Eucalyptus ignorabilis L.A.S.Johnson & K.D.Hill",1,0,"closed","closed","closed",0,1
"Eucalyptus pulchella Desf.",0.8,0.2,"closed","closed","closed",0,1
"Eucalyptus cephalocarpa Blakely",0.9,0.1,"closed","closed","closed",0,1
"Eucalyptus calycogona Turcz.",0.02,0.98,"open","open","open",1,0
"Eucalyptus salmonophloia F.Muell.",0.05,0.95,"open","open","open",1,0
"Eucalyptus deuaensis Boland & P.M.Gilmour",0.89,0.11,"closed","closed","closed",0,1
"Eucalyptus campaspe S.Moore",0.09,0.91,"open","open","open",1,0
"Eucalyptus rosacea L.A.S.Johnson & K.D.Hill",0.04,0.96,"open","open","open",1,0
"Eucalyptus decipiens Endl.",0.07,0.93,"open","open","open",1,0
"Eucalyptus lockyeri Blaxell & K.D.Hill",0.47,0.53,"open","open","closed",1,1
"Eucalyptus glomerosa Brooker & Hopper",0.01,0.99,"open","open","open",1,0
"Eucalyptus roycei S.G.M.Carr, D.J.Carr & George",0.16,0.84,"open","open","open",1,0
"Eucalyptus latisinensis K.D.Hill",0.9,0.1,"closed","closed","closed",0,1
"Eucalyptus normantonensis Maiden & Cambage",0.02,0.98,"open","open","open",1,0
"Eucalyptus dura L.A.S.Johnson & K.D.Hill",0.67,0.33,"closed","closed","closed",1,1
"Eucalyptus aequioperta Brooker & Hopper",0,1,"open","open","open",1,0
"Eucalyptus tintinnans (Blakely & Jacobs) L.A.S.Johnson & K.D.Hill",0,1,"open","open","open",1,0
"Eucalyptus brookeriana A.M.Gray",0.94,0.06,"closed","closed","closed",0,1
"Eucalyptus quadrans Brooker & Hopper",0.02,0.98,"open","open","open",1,0
"Corymbia eremaea (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson",0.01,0.99,"open","open","open",1,0
"Eucalyptus forrestiana Diels",0.13,0.87,"open","open","open",1,0
"Eucalyptus nitida Hook.fil.",0.91,0.09,"closed","closed","closed",0,1
"Eucalyptus leptophleba F.Muell.",0.06,0.94,"open","open","open",1,0
"Corymbia latifolia (F.Muell.) K.D.Hill & L.A.S.Johnson",0.01,0.99,"open","open","open",1,0
"Eucalyptus tenuipes (Maiden & Blakely) Blakely & C.T.White",0.09,0.91,"open","open","open",1,0
"Eucalyptus blaxellii L.A.S.Johnson & K.D.Hill",0.2,0.8,"open","open","open",1,0
"Eucalyptus gongylocarpa Blakely",0.01,0.99,"open","open","open",1,0
"Eucalyptus recta L.A.S.Johnson & K.D.Hill",0.11,0.89,"open","open","open",1,0
"Corymbia leichhardtii (F.M.Bailey) K.D.Hill & L.A.S.Johnson",0.12,0.88,"open","open","open",1,0
"Eucalyptus uncinata Turcz.",0.03,0.97,"open","open","open",1,0
"Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson",0.01,0.99,"open","open","open",1,0
"Corymbia opaca (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson",0,1,"open","open","open",1,0
"Eucalyptus alipes (L.A.S.Johnson & K.D.Hill) D.Nicolle & Brooker",0.05,0.95,"open","open","open",1,0
"Eucalyptus pyriformis Turcz.",0.12,0.88,"open","open","open",1,0
"Eucalyptus megacarpa F.Muell.",0.13,0.87,"open","open","open",1,0
"Corymbia aparrerinja K.D.Hill & L.A.S.Johnson",0.02,0.98,"open","open","open",1,0
"Eucalyptus gamophylla F.Muell.",0.01,0.99,"open","open","open",1,0
"Eucalyptus pileata Blakely",0.02,0.98,"open","open","open",1,0
"Corymbia lamprophylla (Brooker & A.R.Bean) K.D.Hill & L.A.S.Johnson",0.11,0.89,"open","open","open",1,0
"Corymbia hamersleyana (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson",0.02,0.98,"open","open","open",1,0
"Eucalyptus platyphylla F.Muell.",0.23,0.77,"open","open","open",1,0
"Corymbia aspera (F.Muell.) K.D.Hill & L.A.S.Johnson",0,1,"open","open","open",1,0
"Eucalyptus curtisii Blakely & C.T.White",0.48,0.52,"open","open","closed",1,1
"Eucalyptus fasciculosa F.Muell.",0.01,0.99,"open","open","open",1,0
"Eucalyptus paedoglauca L.A.S.Johnson & Blaxell",0.12,0.88,"open","open","open",1,0
"Corymbia novoguinensis (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson",0.06,0.94,"open","open","open",1,0
"Corymbia foelscheana (F.Muell.) K.D.Hill & L.A.S.Johnson",0.01,0.99,"open","open","open",1,0
"Eucalyptus drummondii Benth.",0.03,0.97,"open","open","open",1,0
"Eucalyptus talyuberlup D.J.Carr & S.G.M.Carr",0.35,0.65,"open","open","open",1,1
"Corymbia bunites (Brooker & A.R.Bean) K.D.Hill & L.A.S.Johnson",0.27,0.73,"open","open","open",1,1
"Corymbia flavescens K.D.Hill & L.A.S.Johnson",0,1,"open","open","open",1,0
"Eucalyptus platycorys Maiden & Blakely",0.01,0.99,"open","open","open",1,0
"Eucalyptus atrata L.A.S.Johnson & K.D.Hill",0.31,0.69,"open","open","open",1,1
"Eucalyptus whitei Maiden & Blakely",0.07,0.92,"open","open","open",1,0
"Eucalyptus ravida L.A.S.Johnson & K.D.Hill",0.09,0.91,"open","open","open",1,0
"Eucalyptus chlorophylla Brooker & Done",0.02,0.98,"open","open","open",1,0
"Eucalyptus concinna Maiden & Blakely",0.01,0.99,"open","open","open",1,0
"Eucalyptus houseana W.Fitzg. ex Maiden",0.02,0.98,"open","open","open",1,0
"Corymbia greeniana (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson",0.01,0.99,"open","open","open",1,0
"Eucalyptus victrix L.A.S.Johnson & K.D.Hill",0,1,"open","open","open",1,0
"Eucalyptus diminuta Brooker & Hopper",0.1,0.9,"open","open","open",1,0
"Corymbia zygophylla (Blakely) K.D.Hill & L.A.S.Johnson",0.02,0.98,"open","open","open",1,0
"Corymbia bloxsomei (Maiden) K.D.Hill & L.A.S.Johnson",0.12,0.88,"open","open","open",1,0
"Corymbia dallachiana (Benth.) K.D.Hill & L.A.S.Johnson",0.07,0.93,"open","open","open",1,0
"Eucalyptus kingsmillii (Maiden) Maiden & Blakely",0.01,0.99,"open","open","open",1,0
"Eucalyptus olivina Brooker & Hopper",0.01,0.99,"open","open","open",1,0
"Eucalyptus ewartiana Maiden",0.01,0.99,"open","open","open",1,0
"Eucalyptus perangusta Brooker",0.05,0.95,"open","open","open",1,0
"Eucalyptus rubiginosa Brooker",0.12,0.88,"open","open","open",1,0
"Eucalyptus oxymitra Blakely",0.01,0.99,"open","open","open",1,0
"Corymbia polycarpa (F.Muell.) K.D.Hill & L.A.S.Johnson",0.02,0.98,"open","open","open",1,0
"Eucalyptus decorticans (F.M.Bailey) Maiden",0.18,0.82,"open","open","open",1,0
"Eucalyptus odontocarpa F.Muell.",0.01,0.99,"open","open","open",1,0
"Eucalyptus corrugata Luehm.",0.06,0.94,"open","open","open",1,0
"Corymbia jacobsiana (Blakely) K.D.Hill & L.A.S.Johnson",0.07,0.93,"open","open","open",1,0
"Eucalyptus occidentalis Endl.",0.17,0.83,"open","open","open",1,0
"Corymbia watsoniana (F.Muell.) K.D.Hill & L.A.S.Johnson",0.15,0.85,"open","open","open",1,0
"Eucalyptus tetrodonta F.Muell.",0.01,0.99,"open","open","open",1,0
"Corymbia nesophila (Blakely) K.D.Hill & L.A.S.Johnson",0.06,0.94,"open","open","open",1,0
"Eucalyptus cylindriflora Maiden & Blakely",0.08,0.92,"open","open","open",1,0
"Eucalyptus captiosa Brooker & Hopper",0.1,0.9,"open","open","open",1,0
"Eucalyptus accedens Fitzg.",0.07,0.93,"open","open","open",1,0
"Eucalyptus subcrenulata Maiden & Blakely",0.97,0.03,"closed","closed","closed",0,1
"Eucalyptus alaticaulis R.J.Watson & Ladiges",1,0,"closed","closed","closed",0,1
"Eucalyptus cneorifolia A.Cunn. ex DC.",0.1,0.9,"open","open","open",1,0
"Eucalyptus brachyandra F.Muell.",0.01,0.99,"open","open","open",1,0
"Corymbia dunlopiana K.D.Hill & L.A.S.Johnson",0.02,0.98,"open","open","open",1,0
"Eucalyptus rudis Endl.",0.18,0.82,"open","open","open",1,0
"Eucalyptus pleurocarpa Schauer",0.08,0.92,"open","open","open",1,0
"Eucalyptus doratoxylon F.Muell.",0.07,0.93,"open","open","open",1,0
"Eucalyptus yilgarnensis (Maiden) Brooker",0.02,0.98,"open","open","open",1,0
"Eucalyptus cupularis C.A.Gardner",0.06,0.94,"open","open","open",1,0
"Eucalyptus calcareana Boomsma",0.05,0.95,"open","open","open",1,0
"Eucalyptus diversicolor F.Muell.",0.3,0.7,"open","open","open",1,1
"Eucalyptus acroleuca L.A.S.Johnson & K.D.Hill",0.06,0.94,"open","open","open",1,0
"Eucalyptus argophloia Blakely",0.38,0.62,"open","open","open",1,1
"Eucalyptus rodwayi R.T.Baker & H.G.Sm.",0.96,0.04,"closed","closed","closed",0,1
"Eucalyptus annulata Benth.",0.04,0.96,"open","open","open",1,0
"Corymbia papuana (F.Muell.) K.D.Hill & L.A.S.Johnson",0.12,0.88,"open","open","open",1,0
"Corymbia confertiflora (F.Muell.) K.D.Hill & L.A.S.Johnson",0.01,0.99,"open","open","open",1,0
"Eucalyptus apodophylla Blakely & Jacobs",0.02,0.98,"open","open","open",1,0
"Corymbia abbreviata (Blakely & Jacobs) K.D.Hill & L.A.S.Johnson",0.01,0.99,"open","open","open",1,0
"Eucalyptus obtusiflora DC.",0.14,0.86,"open","open","open",1,0
"Eucalyptus amygdalina Labill.",0.8,0.2,"closed","closed","closed",0,1
"Eucalyptus cloeziana F.Muell.",0.35,0.65,"open","open","open",1,1
"Corymbia chippendalei (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson",0.01,0.99,"open","open","open",1,0
"Corymbia hendersonii K.D.Hill & L.A.S.Johnson",0.05,0.95,"open","open","open",1,0
"Eucalyptus aspersa Brooker & Hopper",0.03,0.97,"open","open","open",1,0
"Eucalyptus patellaris F.Muell.",0.01,0.99,"open","open","open",1,0
"Eucalyptus tenera L.A.S.Johnson & K.D.Hill",0.01,0.99,"open","open","open",1,0
"Corymbia ellipsoidea (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson",0.08,0.92,"open","open","open",1,0
"Eucalyptus virens Brooker & A.R.Bean",0.18,0.82,"open","open","open",1,0
"Corymbia polysciada (F.Muell.) K.D.Hill & L.A.S.Johnson",0.01,0.99,"open","open","open",1,0
"Eucalyptus marginata Sm.",0.16,0.84,"open","open","open",1,0
"Eucalyptus neutra D.Nicolle",0.02,0.98,"open","open","open",1,0
"Eucalyptus tumida Brooker & Hopper",0.03,0.97,"open","open","open",1,0
"Eucalyptus jacksonii Maiden",0.36,0.64,"open","open","open",1,1
"Eucalyptus elaeophloia Chappill, Crisp & Prober",0.09,0.91,"open","open","open",1,0
"Eucalyptus lateritica Brooker & Hopper",0,1,"open","open","open",1,0
"Eucalyptus cylindrocarpa Blakely",0.01,0.99,"open","open","open",1,0
"Eucalyptus delegatensis F.Muell. ex R.T.Baker",0.66,0.34,"closed","closed","closed",1,1
"Corymbia haematoxylon (Maiden) K.D.Hill & L.A.S.Johnson",0.29,0.71,"open","open","open",1,1
"Eucalyptus phoenicea F.Muell.",0.03,0.97,"open","open","open",1,0
"Eucalyptus howittiana F.Muell.",0.16,0.84,"open","open","open",1,0
"Eucalyptus angulosa Schauer",0.1,0.9,"open","open","open",1,0
"Eucalyptus griffithsii Maiden",0.08,0.92,"open","open","open",1,0
"Corymbia bleeseri (Blakely) K.D.Hill & L.A.S.Johnson",0.01,0.99,"open","open","open",1,0
"Eucalyptus gittinsii Brooker & Blaxell",0,1,"open","open","open",1,0
"Eucalyptus subtilis Brooker & Hopper",0.04,0.96,"open","open","open",1,0
"Eucalyptus pachyloma Benth.",0.03,0.97,"open","open","open",1,0
"Eucalyptus formanii C.A.Gardner",0.28,0.72,"open","open","open",1,1
"Eucalyptus discreta Brooker",0.04,0.96,"open","open","open",1,0
"Eucalyptus myriadena Brooker",0.02,0.98,"open","open","open",1,0
"Corymbia erythrophloia (Blakely) K.D.Hill & L.A.S.Johnson",0.15,0.85,"open","open","open",1,0
"Eucalyptus vegrandis L.A.S.Johnson & K.D.Hill",0.08,0.92,"open","open","open",1,0
"Eucalyptus misella L.A.S.Johnson & K.D.Hill",0.33,0.67,"open","open","open",1,1
"Eucalyptus macrandra F.Muell. ex Benth.",0.32,0.68,"open","open","open",1,1
"Eucalyptus brevifolia F.Muell.",0,1,"open","open","open",1,0
"Eucalyptus exilipes Brooker & A.R.Bean",0.03,0.97,"open","open","open",1,0
"Eucalyptus kondininensis Maiden & Blakely",0.11,0.89,"open","open","open",1,0
"Eucalyptus sepulcralis F.Muell.",0.06,0.94,"open","open","open",1,0
"Eucalyptus albopurpurea (Boomsma) D.Nicolle",0.09,0.91,"open","open","open",1,0
"Eucalyptus yumbarrana Boomsma",0.01,0.99,"open","open","open",1,0
"Eucalyptus orgadophila Maiden & Blakely",0.09,0.91,"open","open","open",1,0
"Eucalyptus yarraensis Maiden & Cambage",0.98,0.02,"closed","closed","closed",0,1
"Corymbia blakei K.D.Hill & L.A.S.Johnson",0.02,0.98,"open","open","open",1,0
"Eucalyptus suberea Brooker & Hopper",0.14,0.86,"open","open","open",1,0
"Eucalyptus gillenii Ewart & L.R.Kerr",0.02,0.98,"open","open","open",1,0
"Eucalyptus livida Brooker & Hopper",0.03,0.97,"open","open","open",1,0
"Eucalyptus crucis Maiden",0.27,0.73,"open","open","open",1,1
"Eucalyptus salicola Brooker",0.01,0.99,"open","open","open",1,0
"Eucalyptus flocktoniae (Maiden) Maiden",0.01,0.99,"open","open","open",1,0
"Eucalyptus youngiana F.Muell.",0.01,0.99,"open","open","open",1,0
"Eucalyptus flindersii Boomsma",0.03,0.97,"open","open","open",1,0
"Eucalyptus quaerenda (L.A.S.Johnson & K.D.Hill) Byrne",0,1,"open","open","open",1,0
"Eucalyptus tenuiramis Miq.",0.81,0.19,"closed","closed","closed",0,1
"Eucalyptus semota C.J.Macph. & Grayling",0.11,0.89,"open","open","open",1,0
"Eucalyptus petrensis Brooker & Hopper",0.04,0.96,"open","open","open",1,0
"Eucalyptus raveretiana F.Muell.",0.19,0.81,"open","open","open",1,0
"Eucalyptus incerata Brooker & Hopper",0,1,"open","open","open",1,0
"Eucalyptus prominens Brooker",0.09,0.91,"open","open","open",1,0
"Eucalyptus sessilis (Maiden) Blakely",0.02,0.98,"open","open","open",1,0
"Eucalyptus jucunda C.A.Gardner",0.05,0.95,"open","open","open",1,0
"Eucalyptus salubris F.Muell.",0.05,0.95,"open","open","open",1,0
"Eucalyptus pellita F.Muell.",0.48,0.52,"open","open","closed",1,1
"Eucalyptus obconica Brooker & Kleinig",0.02,0.98,"open","open","open",1,0
"Eucalyptus barberi L.A.S.Johnson & Blaxell",0.94,0.06,"closed","closed","closed",0,1
"Eucalyptus oldfieldii F.Muell.",0.02,0.98,"open","open","open",1,0
"Corymbia porrecta (S.T.Blake) K.D.Hill & L.A.S.Johnson",0.03,0.97,"open","open","open",1,0
"Eucalyptus quadricostata Brooker",0.07,0.93,"open","open","open",1,0
"Eucalyptus beardiana Brooker & Blaxell",0,1,"open","open","open",1,0
"Eucalyptus micranthera F.Muell. ex Benth.",0.06,0.94,"open","open","open",1,0
"Eucalyptus erectifolia Brooker & Hopper",0,1,"open","open","open",1,0
"Eucalyptus microtheca F.Muell.",0.02,0.98,"open","open","open",1,0
"Eucalyptus erythrocorys F.Muell.",0.17,0.83,"open","open","open",1,0
"Eucalyptus angustissima F.Muell.",0,1,"open","open","open",1,0
"Eucalyptus sphaerocarpa L.A.S.Johnson & Blaxell",0.11,0.89,"open","open","open",1,0
"Eucalyptus falcata Turcz.",0.01,0.99,"open","open","open",1,0
"Eucalyptus orbifolia F.Muell.",0.09,0.91,"open","open","open",1,0
"Eucalyptus decurva F.Muell.",0.04,0.96,"open","open","open",1,0
"Eucalyptus redunca Schauer",0.04,0.96,"open","open","open",1,0
"Eucalyptus cyclostoma Brooker",0,1,"open","open","open",1,0
"Eucalyptus brassiana S.T.Blake",0.18,0.82,"open","open","open",1,0
"Eucalyptus brachycalyx Blakely",0,1,"open","open","open",1,0
"Eucalyptus luculenta L.A.S.Johnson & K.D.Hill",0.11,0.89,"open","open","open",1,0
"Eucalyptus cornuta Labill.",0.24,0.76,"open","open","open",1,0
"Eucalyptus tectifica F.Muell.",0,1,"open","open","open",1,0
"Eucalyptus persistens L.A.S.Johnson & K.D.Hill",0.07,0.93,"open","open","open",1,0
"Eucalyptus ceratocorys (Blakely) L.A.S.Johnson & K.D.Hill",0.04,0.96,"open","open","open",1,0
"Eucalyptus grossa F.Muell. ex Benth.",0.09,0.91,"open","open","open",1,0
"Corymbia rhodops (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson",0.5,0.5,"closed","open","closed",1,1
"Corymbia hylandii (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson",0.26,0.74,"open","open","open",1,1
"Eucalyptus sparsa Boomsma",0.04,0.96,"open","open","open",1,0
"Eucalyptus similis Maiden",0.09,0.91,"open","open","open",1,0
"Eucalyptus preissiana Schauer",0.34,0.66,"open","open","open",1,1
"Eucalyptus kitsoniana Luehm. ex Maiden",0.77,0.23,"closed","closed","closed",0,1
"Eucalyptus thozetiana F.Muell. ex R.T.Baker",0.02,0.98,"open","open","open",1,0
"Eucalyptus rhombica A.R.Bean & Brooker",0.06,0.94,"open","open","open",1,0
"Eucalyptus distans Brooker, Boland & Kleinig",0.03,0.97,"open","open","open",1,0
"Eucalyptus valens L.A.S.Johnson & K.D.Hill",0.04,0.96,"open","open","open",1,0
"Corymbia plena K.D.Hill & L.A.S.Johnson",0,1,"open","open","open",1,0
"Eucalyptus albida Maiden & Blakely",0.03,0.97,"open","open","open",1,0
"Eucalyptus johnsoniana Brooker & Blaxell",0.2,0.8,"open","open","open",1,0
"Eucalyptus miniata A.Cunn. ex Schauer",0.01,0.99,"open","open","open",1,0
"Eucalyptus moderata L.A.S.Johnson & K.D.Hill",0.02,0.98,"open","open","open",1,0
"Eucalyptus ornata Crisp",0.43,0.57,"open","open","closed",1,1
"Eucalyptus latens Brooker",0.03,0.97,"open","open","open",1,0
"Eucalyptus vernicosa Hook.fil.",1,0,"closed","closed","closed",0,1
"Eucalyptus newbeyi D.J.Carr & S.G.M.Carr",0.56,0.44,"closed","open","closed",1,1
"Eucalyptus remota Blakely",0.08,0.92,"open","open","open",1,0
"Eucalyptus oraria L.A.S.Johnson",0.05,0.95,"open","open","open",1,0
"Eucalyptus cadens J.D.Briggs & Crisp",0.83,0.17,"closed","closed","closed",0,1
"Eucalyptus praetermissa Brooker & Hopper",0.2,0.8,"open","open","open",1,0
"Eucalyptus vittata D.Nicolle",0.03,0.97,"open","open","open",1,0
"Eucalyptus brevistylis Brooker",0.24,0.76,"open","open","open",1,0
"Eucalyptus alligatrix L.A.S.Johnson & K.D.Hill",1,0,"closed","closed","closed",0,1
"Eucalyptus lucasii Blakely",0.01,0.99,"open","open","open",1,0
"Eucalyptus melanoleuca S.T.Blake",0.47,0.53,"open","open","closed",1,1
"Eucalyptus yalatensis Boomsma",0.02,0.98,"open","open","open",1,0
"Eucalyptus wubinensis L.A.S.Johnson & K.D.Hill",0,1,"open","open","open",1,0
"Eucalyptus eremicola Boomsma",0.01,0.99,"open","open","open",1,0
"Eucalyptus pruinosa Schauer",0,1,"open","open","open",1,0
"Corymbia grandifolia (R.Br. ex Benth.) K.D.Hill & L.A.S.Johnson",0.01,0.99,"open","open","open",1,0
"Eucalyptus infera A.R.Bean",0.7,0.3,"closed","closed","closed",1,1
"Eucalyptus kruseana F.Muell.",0.11,0.89,"open","open","open",1,0
"Eucalyptus cretata P.J.Láng & Brooker",0,1,"open","open","open",1,0
"Eucalyptus grisea L.A.S.Johnson & K.D.Hill",0,1,"open","open","open",1,0
"Eucalyptus horistes L.A.S.Johnson & K.D.Hill",0.02,0.98,"open","open","open",1,0
"Eucalyptus caesia Benth.",0.41,0.59,"open","open","closed",1,1
"Eucalyptus mitchelliana Cambage",0.5,0.5,"closed","open","closed",1,1
"Eucalyptus singularis L.A.S.Johnson & Blaxell",0.24,0.76,"open","open","open",1,0
"Eucalyptus spathulata Hook.",0.22,0.78,"open","open","open",1,0
"Eucalyptus lucens Brooker & Dunlop",0.05,0.95,"open","open","open",1,0
"Corymbia ferruginea (Schauer) K.D.Hill & L.A.S.Johnson",0,1,"open","open","open",1,0
"Eucalyptus oleosa F.Muell. ex Miq.",0.03,0.97,"open","open","open",1,0
"Eucalyptus kochii Maiden & Blakely",0.03,0.97,"open","open","open",1,0
"Eucalyptus spreta L.A.S.Johnson & K.D.Hill",0.08,0.92,"open","open","open",1,0
"Eucalyptus indurata Brooker & Hopper",0.02,0.98,"open","open","open",1,0
"Corymbia stockeri (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson",0.09,0.91,"open","open","open",1,0
"Corymbia peltata (Benth.) K.D.Hill & L.A.S.Johnson",0.19,0.81,"open","open","open",1,0
"Eucalyptus pimpiniana Maiden",0.02,0.98,"open","open","open",1,0
"Eucalyptus denticulata I.O.Cook & Ladiges",0.89,0.11,"closed","closed","closed",0,1
"Eucalyptus tholiformis A.R.Bean & Brooker",0,1,"open","open","open",1,0
"Eucalyptus confluens W.Fitzg. ex Maiden",0.03,0.97,"open","open","open",1,0
"Eucalyptus limitaris L.A.S.Johnson & K.D.Hill",0.02,0.98,"open","open","open",1,0
"Eucalyptus proxima D.Nicolle & Brooker",0.08,0.92,"open","open","open",1,0
"Eucalyptus exilis Brooker",0.13,0.87,"open","open","open",1,0
"Eucalyptus sicilifolia L.A.S.Johnson & K.D.Hill",0.38,0.62,"open","open","open",1,1
"Eucalyptus creta L.A.S.Johnson & K.D.Hill",0,1,"open","open","open",1,0
"Eucalyptus rhodantha Blakely & Steedman",0.12,0.88,"open","open","open",1,0
"Eucalyptus scopulorum K.D.Hill",1,0,"closed","closed","closed",0,1
"Eucalyptus famelica Brooker & Hopper",0,1,"open","open","open",1,0
"Eucalyptus lanepoolei Maiden",0.03,0.97,"open","open","open",1,0
"Corymbia arafurica K.D.Hill & L.A.S.Johnson",0,1,"open","open","open",1,0
"Eucalyptus extensa L.A.S.Johnson & K.D.Hill",0,1,"open","open","open",1,0
"Eucalyptus woodwardii Maiden",0.08,0.92,"open","open","open",1,0
"Eucalyptus koolpinensis Brooker & Dunlop",0,1,"open","open","open",1,0
"Eucalyptus fraseri (Brooker) Brooker",0,1,"open","open","open",1,0
"Eucalyptus petraea D.J.Carr & S.G.M.Carr",0.02,0.98,"open","open","open",1,0
"Eucalyptus foecunda Schauer",0.03,0.97,"open","open","open",1,0
"Eucalyptus cerasiformis Brooker & Blaxell",0,1,"open","open","open",1,0
"Eucalyptus pruiniramis L.A.S.Johnson & K.D.Hill",0,1,"open","open","open",1,0
"Eucalyptus stowardii Maiden",0.05,0.95,"open","open","open",1,0
"Eucalyptus protensa L.A.S.Johnson & K.D.Hill",0.05,0.95,"open","open","open",1,0
"Eucalyptus fulgens Rule",1,0,"closed","closed","closed",0,1
"Eucalyptus granitica L.A.S.Johnson & K.D.Hill",0.43,0.57,"open","open","closed",1,1
"Corymbia aureola (Brooker & A.R.Bean) K.D.Hill & L.A.S.Johnson",0.13,0.87,"open","open","open",1,0
"Eucalyptus dundasii Maiden",0.05,0.95,"open","open","open",1,0
"Eucalyptus lesouefii Maiden",0.06,0.94,"open","open","open",1,0
"Eucalyptus microneura Maiden & Blakely",0.02,0.98,"open","open","open",1,0
"Eucalyptus platydisca D.Nicolle & Brooker",0.25,0.75,"open","open","open",1,0
"Eucalyptus cuprea Brooker & Hopper",0,1,"open","open","open",1,0
"Eucalyptus phenax Brooker & Slee",0.01,0.99,"open","open","open",1,0
"Eucalyptus patens Benth.",0.1,0.9,"open","open","open",1,0
